51937	-0.10	0.00
51940	-0.10	0.00
51942	-0.10	0.00
51944	-0.30	0.00
51946	-0.20	0.00
51949	-0.10	0.00
51951	-0.20	0.00
51953	-0.10	0.00
51956	-0.10	0.00
51958	-0.30	0.00
51960	0.00	0.00
51963	-0.40	0.00
51965	0.30	0.00
51967	-0.30	0.00
51969	-0.20	0.00
51972	-0.20	0.00
51974	-0.20	0.00
51976	0.10	0.00
51979	-0.40	0.00
51981	-0.30	0.00
51983	0.10	0.00
51986	-0.30	0.00
51988	-0.10	0.00
51990	0.00	0.00
51993	0.10	0.00
51995	-0.40	0.00
51997	-0.20	0.00
51999	-0.10	0.00
52002	-0.10	0.00
52004	-0.10	0.00
52006	0.00	0.00
52009	0.00	0.00
52011	0.10	0.00
52013	-0.30	0.00
52016	0.10	0.00
52018	0.00	0.00
52020	-0.10	0.00
52022	0.10	0.00
52025	-0.10	0.00
52027	0.00	0.00
52029	0.00	0.00
52032	-0.20	0.00
52034	-0.10	0.00
52036	-0.30	0.00
52039	-0.40	0.00
52041	-0.20	0.00
52043	-0.30	0.00
52046	0.00	0.00
52048	-0.40	0.00
52050	-0.20	0.00
52052	-0.10	0.00
52055	-0.30	0.00
52057	-0.10	0.00
52059	-0.20	0.00
52062	-0.10	0.00
52064	0.00	0.00
52066	-0.20	0.00
52069	0.00	0.00
52071	-0.30	0.00
52073	-0.40	0.00
52075	-0.10	0.00
52078	-0.20	0.00
52080	-0.10	0.00
52082	0.00	0.00
52085	-0.40	0.00
52087	0.00	0.00
52089	0.00	0.00
52092	-0.20	0.00
52094	-0.20	0.00
52096	0.30	0.00
52099	-0.30	0.00
52101	0.00	0.00
52103	-0.30	0.00
52105	-0.10	0.00
52108	-0.10	0.00
52110	-0.10	0.00
52112	-0.10	0.00
52115	-0.30	0.00
52117	-0.10	0.00
52119	0.00	0.00
52122	0.30	0.00
52124	-0.30	0.00
52126	0.10	0.00
52128	0.00	0.00
52131	-0.40	0.00
52133	0.00	0.00
52135	0.00	0.00
52138	0.10	0.00
52140	-0.10	0.00
52142	-0.20	0.00
52145	-0.10	0.00
52147	-0.30	0.00
52149	0.00	0.00
52151	-0.40	0.00
52154	-0.30	0.00
52156	0.10	0.00
52158	0.00	0.00
52161	-0.10	0.00
52163	-0.10	0.00
52165	-0.10	0.00
52168	-0.10	0.00
52170	-0.10	0.00
52172	0.00	0.00
52174	0.00	0.00
52177	0.20	0.00
52179	-0.10	0.00
52181	-0.10	0.00
52184	-0.20	0.00
52186	-0.30	0.00
52188	-0.10	0.00
52191	-0.10	0.00
52193	-0.10	0.00
52195	-0.10	0.00
52198	0.00	0.00
52200	-0.20	0.00
52202	0.00	0.00
52204	-0.30	0.00
52207	-0.30	0.00
52209	-0.40	0.00
52211	-0.10	0.00
52214	-0.30	0.00
52216	0.10	0.00
52218	0.10	0.00
52221	-0.10	0.00
52223	-0.20	0.00
52225	-0.10	0.00
52227	0.10	0.00
52230	-0.20	0.00
52232	-0.10	0.00
52234	-0.20	0.00
52237	-0.20	0.00
52239	-0.20	0.00
52241	-0.30	0.00
52244	-0.40	0.00
52246	-0.10	0.00
52248	-0.10	0.00
52251	-0.30	0.00
52253	0.00	0.00
52255	-0.10	0.00
52257	-0.20	0.00
52260	-0.10	0.00
52262	-0.10	0.00
52264	-0.10	0.00
52267	-0.30	0.00
52269	-0.10	0.00
52271	0.00	0.00
52274	-0.10	0.00
52276	-0.10	0.00
52278	-0.30	0.00
52280	-0.20	0.00
52283	-0.40	0.00
52285	-0.20	0.00
52287	-0.10	0.00
52290	-0.20	0.00
52292	-0.20	0.00
52294	-0.20	0.00
52297	-0.20	0.00
52299	-0.10	0.00
52301	-0.20	0.00
52304	-0.10	0.00
52306	-0.20	0.00
52308	0.10	0.00
52310	-0.20	0.00
52313	0.00	0.00
52315	0.10	0.00
52317	0.00	0.00
52320	-0.10	0.00
52322	-0.30	0.00
52324	-0.20	0.00
52327	0.10	0.00
52329	0.10	0.00
52331	-0.20	0.00
52333	0.10	0.00
52336	0.00	0.00
52338	0.00	0.00
52340	-0.10	0.00
52343	-0.20	0.00
52345	-0.20	0.00
52347	-0.10	0.00
52350	-0.20	0.00
52352	-0.20	0.00
52354	-0.10	0.00
52356	-0.20	0.00
52359	-0.10	0.00
52361	-0.10	0.00
52363	-0.20	0.00
52366	-0.10	0.00
52368	-0.20	0.00
52370	-0.20	0.00
52373	-0.10	0.00
52375	-0.20	0.00
52377	-0.40	0.00
52380	-0.20	0.00
52382	-0.30	0.00
52384	-0.20	0.00
52386	0.00	0.00
52389	-0.20	0.00
52391	0.20	0.00
52393	-0.10	0.00
52396	-0.30	0.00
52398	-0.20	0.00
52400	-0.20	0.00
52403	-0.10	0.00
52405	-0.30	0.00
52407	0.00	0.00
52409	0.00	0.00
52412	-0.50	0.00
52414	-0.30	0.00
52416	0.00	0.00
52419	-0.30	0.00
52421	-0.10	0.00
52423	-0.10	0.00
52426	-0.30	0.00
52428	0.00	0.00
52430	-0.20	0.00
52433	-0.20	0.00
52435	0.00	0.00
52437	0.00	0.00
52439	-0.10	0.00
52442	-0.40	0.00
52444	-0.10	0.00
52446	-0.20	0.00
52449	0.00	0.00
52451	-0.20	0.00
52453	-0.10	0.00
52456	-0.10	0.00
52458	0.00	0.00
52460	-0.10	0.00
52462	-0.20	0.00
52465	0.10	0.00
52467	-0.20	0.00
52469	-0.10	0.00
52472	-0.30	0.00
52474	-0.20	0.00
52476	-0.10	0.00
52479	-0.10	0.00
52481	-0.20	0.00
52483	0.00	0.00
52485	-0.10	0.00
52488	-0.30	0.00
52490	0.00	0.00
52492	0.00	0.00
52495	-0.30	0.00
52497	0.00	0.00
52499	-0.10	0.00
52502	-0.20	0.00
52504	-0.20	0.00
52506	-0.20	0.00
52509	-0.50	0.00
52511	-0.10	0.00
52513	0.10	0.00
52515	-0.30	0.00
52518	-0.20	0.00
52520	-0.20	0.00
52522	-0.30	0.00
52525	-0.20	0.00
52527	0.10	0.00
52529	0.20	0.00
52532	0.20	0.00
52534	0.00	0.00
52536	-0.20	0.00
52538	0.10	0.00
52541	-0.20	0.00
52543	0.00	0.00
52545	-0.20	0.00
52548	0.10	0.00
52550	-0.30	0.00
52552	-0.40	0.00
52555	0.10	0.00
52557	-0.20	0.00
52559	-0.20	0.00
52561	-0.10	0.00
52564	0.00	0.00
52566	0.00	0.00
52568	-0.20	0.00
52571	0.00	0.00
52573	-0.10	0.00
52575	-0.10	0.00
52578	0.00	0.00
52580	-0.20	0.00
52582	-0.30	0.00
52585	0.00	0.00
52587	-0.10	0.00
52589	-0.10	0.00
52591	0.00	0.00
52594	0.00	0.00
52596	-0.30	0.00
52598	-0.10	0.00
52601	-0.10	0.00
52603	0.00	0.00
52605	0.10	0.00
52608	0.10	0.00
52610	-0.20	0.00
52612	-0.10	0.00
52614	0.00	0.00
52617	-0.20	0.00
52619	-0.10	0.00
52621	-0.30	0.00
52624	-0.10	0.00
52626	-0.10	0.00
52628	0.20	0.00
52631	0.00	0.00
52633	0.00	0.00
52635	-0.10	0.00
52637	-0.10	0.00
52640	0.10	0.00
52642	0.00	0.00
52644	-0.30	0.00
52647	0.00	0.00
52649	-0.10	0.00
52651	-0.10	0.00
52654	-0.10	0.00
52656	-0.20	0.00
52658	0.10	0.00
52660	0.10	0.00
52663	-0.20	0.00
52665	0.00	0.00
52667	-0.10	0.00
52670	0.00	0.00
52672	0.00	0.00
52674	-0.20	0.00
52677	0.00	0.00
52679	-0.10	0.00
52681	-0.10	0.00
52683	0.00	0.00
52686	-0.20	0.00
52688	-0.10	0.00
52690	-0.30	0.00
52693	-0.20	0.00
52695	0.10	0.00
52697	-0.10	0.00
52700	-0.20	0.00
52702	-0.20	0.00
52704	-0.30	0.00
52707	0.00	0.00
52709	-0.40	0.00
52711	-0.30	0.00
52713	0.00	0.00
52716	0.00	0.00
52718	0.00	0.00
52720	-0.30	0.00
52723	-0.30	0.00
52725	-0.20	0.00
52727	-0.10	0.00
52730	-0.20	0.00
52732	0.00	0.00
52734	-0.10	0.00
52736	-0.10	0.00
52739	-0.10	0.00
52741	-0.20	0.00
52743	-0.40	0.00
52746	-0.20	0.00
52748	-0.10	0.00
52750	0.00	0.00
52753	-0.10	0.00
52755	-0.10	0.00
52757	-0.10	0.00
52760	-0.20	0.00
52762	-0.10	0.00
52764	0.10	0.00
52766	-0.10	0.00
52769	-0.10	0.00
52771	-0.10	0.00
52773	0.10	0.00
52776	0.10	0.00
52778	-0.30	0.00
52780	0.10	0.00
52783	-0.10	0.00
52785	-0.30	0.00
52787	0.10	0.00
52790	-0.40	0.00
52792	-0.10	0.00
52794	0.00	0.00
52796	-0.30	0.00
52799	-0.40	0.00
52801	-0.30	0.00
52803	-0.40	0.00
52806	-0.30	0.00
52808	0.00	0.00
52810	-0.20	0.00
52813	-0.10	0.00
52815	-0.20	0.00
52817	-0.30	0.00
52820	-0.40	0.00
52822	-0.30	0.00
52824	-0.10	0.00
52826	0.00	0.00
52829	0.00	0.00
52831	-0.20	0.00
52833	-0.30	0.00
52836	0.10	0.00
52838	-0.20	0.00
52840	0.00	0.00
52843	-0.20	0.00
52845	-0.10	0.00
52847	-0.20	0.00
52849	-0.10	0.00
52852	0.00	0.00
52854	0.10	0.00
52856	-0.20	0.00
52859	-0.10	0.00
52861	-0.20	0.00
52863	0.00	0.00
52866	-0.20	0.00
52868	0.00	0.00
52870	0.00	0.00
52872	-0.10	0.00
52875	-0.10	0.00
52877	-0.10	0.00
52879	-0.20	0.00
52882	-0.10	0.00
52884	0.10	0.00
52886	-0.10	0.00
52889	-0.10	0.00
52891	0.10	0.00
52893	-0.20	0.00
52895	-0.50	0.00
52898	-0.10	0.00
52900	-0.20	0.00
52902	-0.10	0.00
52905	-0.20	0.00
52907	-0.10	0.00
52909	-0.10	0.00
52912	-0.30	0.00
52914	0.20	0.00
52916	-0.10	0.00
52919	-0.20	0.00
52921	-0.20	0.00
52923	-0.20	0.00
52926	0.00	0.00
52928	-0.20	0.00
52930	-0.10	0.00
52932	-0.30	0.00
52935	0.00	0.00
52937	-0.20	0.00
52939	-0.10	0.00
52942	-0.30	0.00
52944	-0.20	0.00
52946	-0.30	0.00
52949	-0.10	0.00
52951	0.00	0.00
52953	-0.20	0.00
52955	-0.20	0.00
52958	0.20	0.00
52960	-0.30	0.00
52962	-0.10	0.00
52965	-0.30	0.00
52967	0.00	0.00
52969	-0.30	0.00
52972	-0.40	0.00
52974	-0.10	0.00
52976	0.00	0.00
52979	-0.10	0.00
52981	0.00	0.00
52983	0.10	0.00
52985	0.00	0.00
52988	-0.10	0.00
52990	-0.20	0.00
52992	-0.20	0.00
52995	0.10	0.00
52997	-0.20	0.00
52999	-0.20	0.00
53002	0.20	0.00
53004	0.10	0.00
53006	-0.30	0.00
53008	-0.10	0.00
53011	-0.20	0.00
53013	0.00	0.00
53015	-0.20	0.00
53018	-0.30	0.00
53020	-0.20	0.00
53022	-0.20	0.00
53025	-0.30	0.00
53027	-0.10	0.00
53029	-0.20	0.00
53032	-0.10	0.00
53034	-0.10	0.00
53036	-0.30	0.00
53038	-0.10	0.00
53041	-0.20	0.00
53043	-0.40	0.00
53045	0.10	0.00
53048	-0.20	0.00
53050	0.00	0.00
53052	-0.20	0.00
53055	-0.10	0.00
53057	-0.10	0.00
53059	-0.20	0.00
53062	-0.10	0.00
53064	-0.10	0.00
53066	-0.20	0.00
53068	-0.10	0.00
53071	-0.40	0.00
53073	0.00	0.00
