time_ms	current_mA	power_mW
682	-0.20	0.00
684	-0.20	0.00
687	0.00	0.00
689	-0.10	0.00
691	-0.10	0.00
694	-0.10	0.00
696	-0.20	0.00
698	-0.10	0.00
700	0.00	0.00
703	-0.30	0.00
705	-0.20	0.00
707	-0.40	0.00
710	0.00	0.00
712	-0.30	0.00
714	-0.20	0.00
717	-0.10	0.00
719	-0.20	0.00
721	0.00	0.00
724	-0.10	0.00
726	-0.10	0.00
728	0.00	0.00
730	-0.30	0.00
733	-0.20	0.00
735	-0.10	0.00
737	-0.20	0.00
740	-0.20	0.00
742	-0.10	0.00
744	-0.10	0.00
747	0.00	0.00
749	-0.10	0.00
751	-0.30	0.00
754	-0.30	0.00
756	-0.20	0.00
758	0.00	0.00
760	-0.10	0.00
763	-0.20	0.00
765	-0.20	0.00
767	-0.10	0.00
770	-0.10	0.00
772	-0.30	0.00
774	-0.10	0.00
777	0.20	0.00
779	-0.20	0.00
781	-0.20	0.00
784	-0.40	0.00
786	-0.20	0.00
788	0.00	0.00
790	0.00	0.00
793	-0.20	0.00
795	-0.10	0.00
797	-0.50	0.00
800	-0.20	0.00
802	-0.20	0.00
804	-0.30	0.00
807	-0.10	0.00
809	0.00	0.00
811	-0.30	0.00
813	0.00	0.00
816	0.00	0.00
818	-0.30	0.00
820	-0.20	0.00
823	-0.10	0.00
825	-0.30	0.00
827	-0.40	0.00
830	-0.30	0.00
832	-0.40	0.00
834	-0.20	0.00
837	-0.10	0.00
839	-0.20	0.00
841	0.10	0.00
843	0.00	0.00
846	-0.10	0.00
848	-0.20	0.00
850	-0.30	0.00
853	-0.20	0.00
855	-0.10	0.00
857	-0.20	0.00
860	-0.10	0.00
862	-0.30	0.00
864	-0.30	0.00
866	-0.20	0.00
869	-0.10	0.00
871	0.00	0.00
873	-0.10	0.00
876	0.00	0.00
878	-0.10	0.00
880	0.00	0.00
883	-0.10	0.00
885	-0.10	0.00
887	-0.30	0.00
890	-0.10	0.00
892	-0.30	0.00
894	-0.10	0.00
896	-0.10	0.00
899	-0.10	0.00
901	-0.10	0.00
903	-0.10	0.00
906	-0.30	0.00
908	-0.20	0.00
910	-0.10	0.00
913	0.10	0.00
915	0.10	0.00
917	-0.40	0.00
920	-0.20	0.00
922	-0.10	0.00
924	0.10	0.00
926	-0.20	0.00
929	-0.20	0.00
931	-0.20	0.00
933	-0.10	0.00
936	-0.10	0.00
938	-0.20	0.00
940	0.10	0.00
943	-0.10	0.00
945	-0.20	0.00
947	-0.30	0.00
949	-0.10	0.00
952	-0.10	0.00
954	-0.20	0.00
956	-0.20	0.00
959	0.00	0.00
961	-0.20	0.00
963	-0.20	0.00
966	-0.20	0.00
968	0.00	0.00
970	-0.20	0.00
973	-0.40	0.00
975	-0.10	0.00
977	-0.20	0.00
979	-0.10	0.00
982	0.00	0.00
984	-0.10	0.00
986	-0.20	0.00
989	-0.30	0.00
991	0.00	0.00
993	-0.20	0.00
996	-0.50	0.00
998	-0.30	0.00
1000	-0.30	0.00
1003	0.00	0.00
1005	-0.40	0.00
1007	-0.20	0.00
1009	0.00	0.00
1012	-0.20	0.00
1014	-0.10	0.00
1016	0.00	0.00
1019	0.00	0.00
1021	-0.10	0.00
1023	0.10	0.00
1026	-0.20	0.00
1028	-0.30	0.00
1030	-0.20	0.00
1032	-0.10	0.00
1035	-0.20	0.00
1037	-0.20	0.00
1039	-0.20	0.00
1042	-0.40	0.00
1044	-0.30	0.00
1046	-0.20	0.00
1049	0.00	0.00
1051	-0.30	0.00
1053	-0.10	0.00
1056	-0.20	0.00
1058	-0.20	0.00
1060	-0.20	0.00
1062	-0.20	0.00
1065	0.00	0.00
1067	0.00	0.00
1069	-0.30	0.00
1072	-0.30	0.00
1074	0.00	0.00
1076	-0.40	0.00
1079	0.10	0.00
1081	-0.20	0.00
1083	-0.40	0.00
1085	-0.10	0.00
1088	-0.20	0.00
1090	0.10	0.00
1092	-0.50	0.00
1095	0.10	0.00
1097	-0.10	0.00
1099	0.00	0.00
1102	0.00	0.00
1104	-0.20	0.00
1106	0.00	0.00
1108	0.20	0.00
1111	-0.20	0.00
1113	-0.50	0.00
1115	0.00	0.00
1118	0.00	0.00
1120	0.30	0.00
1122	-0.20	0.00
1125	-0.10	0.00
1127	-0.20	0.00
1129	-0.10	0.00
1131	-0.20	0.00
1134	-0.10	0.00
1136	-0.40	0.00
1138	-0.30	0.00
1141	-0.30	0.00
1143	-0.20	0.00
1145	-0.20	0.00
1148	-0.10	0.00
1150	-0.10	0.00
1152	0.10	0.00
1154	-0.50	0.00
1157	0.00	0.00
1159	-0.10	0.00
1161	-0.10	0.00
1164	0.00	0.00
1166	-0.40	0.00
1168	-0.30	0.00
1171	-0.20	0.00
1173	-0.20	0.00
1175	0.00	0.00
1178	-0.20	0.00
1180	-0.20	0.00
1182	0.00	0.00
1184	0.10	0.00
1187	-0.20	0.00
1189	0.10	0.00
1191	-0.10	0.00
1194	-0.10	0.00
1196	0.00	0.00
1198	-0.30	0.00
1201	-0.10	0.00
1203	-0.10	0.00
1205	0.10	0.00
1207	0.20	0.00
1210	-0.10	0.00
1212	-0.10	0.00
1214	-0.10	0.00
1217	0.10	0.00
1219	-0.30	0.00
1221	-0.40	0.00
1224	-0.40	0.00
1226	0.00	0.00
1228	-0.50	0.00
1230	0.00	0.00
1233	-0.40	0.00
1235	-0.10	0.00
1237	-0.40	0.00
1240	-0.10	0.00
1242	-0.10	0.00
1244	0.10	0.00
1247	-0.40	0.00
1249	0.00	0.00
1251	-0.20	0.00
1253	-0.10	0.00
1256	-0.20	0.00
1258	-0.10	0.00
1260	0.10	0.00
1263	-0.10	0.00
1265	0.00	0.00
1267	-0.10	0.00
1270	0.00	0.00
1272	0.00	0.00
1274	-0.30	0.00
1277	-0.20	0.00
1279	-0.20	0.00
1281	-0.10	0.00
1283	0.00	0.00
1286	0.00	0.00
1288	-0.10	0.00
1290	-0.30	0.00
1293	-0.30	0.00
1295	-0.10	0.00
1297	0.00	0.00
1300	-0.10	0.00
1302	-0.30	0.00
1304	-0.40	0.00
1306	-0.20	0.00
1309	-0.30	0.00
1311	-0.30	0.00
1313	-0.30	0.00
1316	0.00	0.00
1318	-0.10	0.00
1320	-0.10	0.00
1323	-0.20	0.00
1325	-0.10	0.00
1327	-0.20	0.00
1330	0.10	0.00
1332	-0.20	0.00
1334	-0.10	0.00
1336	-0.10	0.00
1339	-0.20	0.00
1341	0.00	0.00
1343	-0.20	0.00
1346	-0.10	0.00
1348	-0.10	0.00
1350	0.00	0.00
1353	-0.10	0.00
1355	0.10	0.00
1357	-0.40	0.00
1360	-0.30	0.00
1362	-0.10	0.00
1364	-0.30	0.00
1366	-0.30	0.00
1369	0.10	0.00
1371	-0.10	0.00
1373	-0.30	0.00
1376	-0.10	0.00
1378	-0.30	0.00
1380	-0.20	0.00
1383	-0.30	0.00
1385	0.00	0.00
1387	-0.20	0.00
1389	-0.20	0.00
1392	-0.10	0.00
1394	-0.20	0.00
1396	-0.30	0.00
1399	0.00	0.00
1401	-0.20	0.00
1403	-0.10	0.00
1406	0.00	0.00
1408	-0.30	0.00
1410	-0.20	0.00
1413	-0.20	0.00
1415	-0.50	0.00
1417	-0.20	0.00
1419	-0.30	0.00
1422	-0.10	0.00
1424	-0.10	0.00
1426	0.00	0.00
1429	-0.50	0.00
1431	-0.30	0.00
1433	-0.10	0.00
1436	-0.30	0.00
1438	-0.10	0.00
1440	-0.20	0.00
1443	0.10	0.00
1445	0.00	0.00
1447	-0.20	0.00
1449	-0.10	0.00
1452	-0.10	0.00
1454	0.00	0.00
1456	-0.20	0.00
1459	-0.50	0.00
1461	-0.20	0.00
1463	0.00	0.00
1466	-0.40	0.00
1468	0.10	0.00
1470	0.00	0.00
1472	-0.20	0.00
1475	-0.20	0.00
1477	-0.10	0.00
1479	-0.40	0.00
1482	-0.10	0.00
1484	-0.20	0.00
1486	0.20	0.00
1489	-0.20	0.00
1491	-0.50	0.00
1493	-0.10	0.00
1496	-0.20	0.00
1498	-0.10	0.00
1500	-0.10	0.00
1502	0.00	0.00
1505	-0.50	0.00
1507	-0.20	0.00
1509	-0.40	0.00
1512	-0.50	0.00
1514	0.10	0.00
1516	-0.20	0.00
1519	-0.30	0.00
1521	0.10	0.00
1523	-0.30	0.00
1526	-0.40	0.00
1528	-0.30	0.00
1530	-0.20	0.00
1532	-0.30	0.00
1535	-0.20	0.00
1537	-0.50	0.00
1539	-0.10	0.00
1542	-0.20	0.00
1544	-0.30	0.00
1546	-0.10	0.00
1549	0.10	0.00
1551	-0.20	0.00
1553	-0.30	0.00
1556	-0.10	0.00
1558	-0.20	0.00
1560	-0.10	0.00
1562	-0.10	0.00
1565	-0.20	0.00
1567	-0.30	0.00
1569	-0.30	0.00
1572	-0.10	0.00
1574	0.00	0.00
1576	0.10	0.00
1579	-0.40	0.00
1581	-0.20	0.00
1583	0.30	0.00
1586	0.00	0.00
1588	0.00	0.00
1590	-0.30	0.00
1592	-0.20	0.00
1595	-0.10	0.00
1597	-0.20	0.00
1599	-0.20	0.00
1602	0.10	0.00
1604	-0.10	0.00
1606	0.10	0.00
1608	0.20	0.00
1611	-0.10	0.00
1613	-0.30	0.00
1615	0.00	0.00
1618	-0.30	0.00
1620	-0.20	0.00
1622	-0.10	0.00
1625	-0.20	0.00
1627	-0.10	0.00
1629	-0.30	0.00
1632	-0.30	0.00
1634	-0.50	0.00
1636	-0.10	0.00
1638	-0.30	0.00
1641	-0.10	0.00
1643	-0.50	0.00
1645	-0.20	0.00
1648	0.00	0.00
1650	-0.30	0.00
1652	-0.20	0.00
1655	-0.10	0.00
1657	0.00	0.00
1659	-0.10	0.00
1662	-0.20	0.00
1664	-0.30	0.00
1666	0.20	0.00
1668	0.00	0.00
1671	-0.20	0.00
1673	-0.20	0.00
1675	-0.20	0.00
1678	0.00	0.00
1680	-0.10	0.00
1682	0.00	0.00
1685	-0.20	0.00
1687	-0.20	0.00
1689	-0.10	0.00
1691	0.00	0.00
1694	0.00	0.00
1696	-0.10	0.00
1698	-0.20	0.00
1701	-0.10	0.00
1703	-0.20	0.00
1705	-0.30	0.00
1708	0.00	0.00
1710	-0.10	0.00
1712	-0.10	0.00
1715	-0.10	0.00
1717	-0.20	0.00
1719	-0.40	0.00
1721	-0.40	0.00
1724	-0.20	0.00
1726	-0.20	0.00
1728	-0.10	0.00
1731	0.00	0.00
1733	-0.20	0.00
1735	-0.20	0.00
1738	-0.20	0.00
1740	0.00	0.00
1742	-0.20	0.00
1745	-0.20	0.00
1747	-0.10	0.00
1749	-0.40	0.00
1751	-0.20	0.00
1754	-0.30	0.00
1756	0.10	0.00
1758	-0.10	0.00
1761	-0.10	0.00
1763	0.10	0.00
1765	-0.10	0.00
1768	-0.10	0.00
1770	-0.10	0.00
1772	-0.20	0.00
1775	-0.40	0.00
1777	-0.10	0.00
1779	-0.40	0.00
1781	-0.40	0.00
1784	-0.10	0.00
1786	-0.10	0.00
1788	0.10	0.00
1791	-0.20	0.00
1793	-0.10	0.00
1795	-0.20	0.00
1798	-0.30	0.00
1800	-0.20	0.00
1802	0.20	0.00
1805	-0.20	0.00
1807	-0.30	0.00
1809	-0.10	0.00
1811	-0.40	0.00
1814	-0.10	0.00
1816	-0.30	0.00
1818	-0.30	0.00
1821	-0.20	0.00
1823	-0.20	0.00
1825	-0.30	0.00
1828	-0.20	0.00
1830	-0.20	0.00
1832	-0.30	0.00
1835	0.10	0.00
1837	-0.20	0.00
1839	-0.10	0.00
1841	0.00	0.00
1844	-0.20	0.00
1846	-0.30	0.00
1848	-0.10	0.00
1851	0.00	0.00
1853	0.10	0.00
1855	-0.20	0.00
1858	-0.20	0.00
1860	-0.10	0.00
1862	-0.10	0.00
1864	-0.10	0.00
1867	-0.30	0.00
1869	-0.10	0.00
1871	-0.20	0.00
1874	-0.10	0.00
1876	-0.20	0.00
1878	-0.20	0.00
1881	0.00	0.00
1883	-0.10	0.00
1885	-0.10	0.00
1888	-0.10	0.00
1890	-0.30	0.00
1892	-0.10	0.00
1894	-0.20	0.00
1897	-0.20	0.00
1899	-0.40	0.00
1901	-0.10	0.00
1904	-0.20	0.00
1906	-0.30	0.00
1908	-0.10	0.00
1911	-0.40	0.00
1913	-0.20	0.00
1915	-0.30	0.00
1918	0.00	0.00
1920	-0.20	0.00
1922	0.00	0.00
1924	-0.10	0.00
1927	0.00	0.00
1929	-0.30	0.00
1931	0.00	0.00
1934	-0.30	0.00
1936	-0.10	0.00
1938	-0.20	0.00
1941	-0.20	0.00
1943	0.00	0.00
1945	-0.40	0.00
1947	-0.10	0.00
1950	-0.10	0.00
1952	-0.10	0.00
1954	-0.10	0.00
1957	0.00	0.00
1959	-0.10	0.00
1961	0.00	0.00
1964	0.00	0.00
1966	0.00	0.00
1968	-0.20	0.00
1970	-0.40	0.00
1973	-0.50	0.00
1975	-0.20	0.00
1977	-0.20	0.00
1980	-0.20	0.00
1982	-0.30	0.00
1984	-0.20	0.00
1987	-0.10	0.00
1989	-0.10	0.00
1991	-0.30	0.00
1994	-0.20	0.00
1996	-0.20	0.00
1998	-0.20	0.00
2000	-0.20	0.00
2003	-0.20	0.00
2005	-0.40	0.00
2007	-0.20	0.00
2010	-0.10	0.00
2012	-0.20	0.00
2014	-0.20	0.00
2017	-0.10	0.00
2019	-0.40	0.00
2021	-0.40	0.00
2024	0.00	0.00
2026	0.00	0.00
2028	-0.10	0.00
2030	-0.20	0.00
2033	-0.10	0.00
2035	-0.20	0.00
2037	-0.30	0.00
2040	-0.20	0.00
2042	-0.10	0.00
2044	-0.20	0.00
2047	-0.20	0.00
2049	-0.10	0.00
2051	-0.20	0.00
2054	-0.20	0.00
2056	-0.20	0.00
2058	-0.40	0.00
2060	-0.30	0.00
2063	-0.40	0.00
2065	-0.10	0.00
2067	0.00	0.00
2070	-0.10	0.00
2072	-0.20	0.00
2074	-0.30	0.00
2077	-0.10	0.00
2079	-0.30	0.00
2081	0.20	0.00
2084	-0.30	0.00
2086	-0.20	0.00
2088	-0.10	0.00
2090	0.10	0.00
2093	-0.10	0.00
2095	-0.10	0.00
2097	-0.20	0.00
2100	-0.10	0.00
2102	0.00	0.00
2104	-0.30	0.00
2107	-0.10	0.00
2109	-0.30	0.00
2111	-0.10	0.00
2114	-0.10	0.00
2116	-0.40	0.00
2118	0.00	0.00
2120	-0.20	0.00
2123	-0.30	0.00
2125	-0.30	0.00
2127	-0.10	0.00
2130	-0.10	0.00
2132	-0.10	0.00
2134	-0.20	0.00
2137	-0.30	0.00
2139	-0.20	0.00
2141	-0.30	0.00
2144	-0.30	0.00
2146	-0.10	0.00
2148	-0.20	0.00
2150	-0.30	0.00
2153	-0.30	0.00
2155	-0.10	0.00
2157	-0.40	0.00
2160	0.10	0.00
2162	0.00	0.00
2164	0.10	0.00
2167	-0.20	0.00
2169	-0.20	0.00
2171	-0.10	0.00
2174	0.00	0.00
2176	-0.20	0.00
2178	-0.20	0.00
2180	-0.30	0.00
2183	0.00	0.00
2185	-0.10	0.00
2187	-0.20	0.00
2190	0.00	0.00
2192	-0.10	0.00
2194	-0.30	0.00
2197	0.10	0.00
2199	0.00	0.00
2201	0.20	0.00
2203	-0.40	0.00
2206	0.00	0.00
2208	-0.30	0.00
2210	-0.20	0.00
2213	-0.20	0.00
2215	-0.10	0.00
2217	-0.30	0.00
2220	-0.40	0.00
2222	-0.10	0.00
2224	-0.10	0.00
2226	-0.10	0.00
2229	-0.30	0.00
2231	0.00	0.00
2233	-0.20	0.00
2236	-0.10	0.00
2238	-0.30	0.00
2240	-0.40	0.00
2243	-0.20	0.00
2245	-0.20	0.00
2247	-0.20	0.00
2250	-0.20	0.00
2252	-0.20	0.00
2254	0.00	0.00
2256	-0.30	0.00
2259	0.10	0.00
2261	-0.20	0.00
2263	-0.10	0.00
2266	0.10	0.00
2268	-0.10	0.00
2270	0.00	0.00
2273	0.10	0.00
2275	0.00	0.00
2277	-0.40	0.00
2279	-0.40	0.00
2282	-0.10	0.00
2284	-0.20	0.00
2286	-0.40	0.00
2289	-0.50	0.00
2291	0.00	0.00
2293	-0.10	0.00
2296	-0.30	0.00
2298	-0.10	0.00
2300	-0.50	0.00
